시설일련번호,시설명,시설면적,경도,위도,상세주소,도로명주소,관리기관명,담당자,담당자연락처,상세시설명,최대수용인원수
430,사화초등학교,600,128.61648899,35.25230247,경상남도 창원시 의창구 팔용동 75,경상남도 창원시 의창구 반계로80번길 7(팔용동),경상남도 창원시 의창구 팔룡동,선병원,055-297-6602,강당,230
29,도계초등학교,1042,128.63910469,35.25915525,경상남도 창원시 의창구 도계동 357-1,경상남도 창원시 의창구 하남천동길 10(도계동),경상남도 창원시 의창구 명곡동,허은호,055-277-4532,체육관,400
30,명서초등학교,1023,128.6432597,35.25059223,경상남도 창원시 의창구 명서동 28-2,경상남도 창원시 의창구 명서로 21(명서동),경상남도 창원시 의창구 명곡동,강옥희,055-288-4923,강당,393
308,대산초등학교,846,128.70986757,35.33988092,경상남도 창원시 의창구 대산면 가술리 150,경상남도 창원시 의창구 대산면 진산대로 442-7,경상남도 창원시 의창구 대산면,백운영,055-291-4613,강당,325
396,창덕중학교,1947,128.68929533,35.27741833,경상남도 창원시 의창구 동읍 용잠리 282,경상남도 창원시 의창구 동읍 의창대로900번길 12,경상남도 창원시 의창구 동읍,행정실(강헌보),055-291-2666,체육관,748
371,반송초등학교 강당동,461,128.49467082,35.75662716,대구광역시 달성군 옥포면 반송리 151,대구광역시 달성군 옥포읍 용연사길 5,대구광역시 달성군 교육복지국 복지정책과,신혜원,053-235-0397,강당동 1층 강당,177
355,휘경중학교,459,127.06175095,37.58708394,서울특별시 동대문구 휘경동 286-66,서울특별시 동대문구 망우로18나길 20(휘경동),서울특별시 동대문구 주민복지국 복지정책과,이주영,02-2244-6475,교사동,107
357,휘봉고등학교,3500,127.06891994,37.58637953,서울특별시 동대문구 휘경동 43-138,서울특별시 동대문구 한천로 290(휘경동),서울특별시 동대문구 주민복지국 복지정책과,백고운,02-2116-7203,본관동,1346
356,휘경공업고등학교,1237,127.06953749,37.58533263,서울특별시 동대문구 휘경동 49-327,서울특별시 동대문구 겸재로 21(휘경동),서울특별시 동대문구 주민복지국 복지정책과,김유경,02-2230-9881,교사동,475
369,휘경1동주민센터,171,127.06576276,37.59292981,서울특별시 동대문구 휘경동 135-9,서울특별시 동대문구 외대역동로6길 3(휘경동),서울특별시 동대문구 주민복지국 복지정책과,이용석,02-2171-6435,강당(4층),65
388,청량초등학교,704,127.05555439,37.59187642,서울특별시 동대문구 회기동 1-1,서울특별시 동대문구 회기로25길 31(회기동),서울특별시 동대문구 주민복지국 복지정책과,문옥선,02-962-1341,체육관(본관),270
394,회기동주민센터,100,127.05544174,37.59076913,서울특별시 동대문구 회기동 347-9,서울특별시 동대문구 회기로25길 12-1 (회기동),서울특별시 동대문구 주민복지국 복지정책과,강선아,02-2171-6411,강당(2층),38
347,안평초등학교,1096,127.07130472,37.56576417,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61(장안동),서울특별시 동대문구 주민복지국 복지정책과,유인경,02-6491-2881,다목적강당,421
392,장안1동주민센터,102,127.06647635,37.5677544,서울특별시 동대문구 장안동 395-3,서울특별시 동대문구 한천로18길 52(장안동),서울특별시 동대문구 주민복지국 복지정책과,홍기정,02-2171-6209,회의실(2층),39
349,장평초등학교,1462,127.07326256,37.57380874,서울특별시 동대문구 장안동 323-0,서울특별시 동대문구 답십리로69길 27(장안동),서울특별시 동대문구 주민복지국 복지정책과,박정민,02-2245-0366,강당,562
393,장안2동주민센터,180,127.07060963,37.57848997,서울특별시 동대문구 장안동 286-3,서울특별시 동대문구 사가정로 230-1 (장안동),서울특별시 동대문구 주민복지국 복지정책과,류근호,02-2171-6344,다목적강당(지하1층),69
389,청량중학교,2007,127.05094099,37.58742587,서울특별시 동대문구 청량리동 14-0,서울특별시 동대문구 왕산로 301(청량리동),서울특별시 동대문구 주민복지국 복지정책과,하솔미,02-966-0436,다목적강당,771
390,청량고등학교,3500,127.05087394,37.58876702,서울특별시 동대문구 청량리동 61-95,서울특별시 동대문구 왕산로 303(청량리동),서울특별시 동대문구 주민복지국 복지정책과,이긍연,02-4445-3901,정보센터,1346
352,경희고등학교,625,127.05484046,37.59493782,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 26(회기동),서울특별시 동대문구 주민복지국 복지정책과,김민주,02-3299-3793,강당,240
341,전동초등학교,3500,127.06118892,37.57909994,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61(전농동),서울특별시 동대문구 주민복지국 복지정책과,유연주,02-2245-9538,본관동,1346
361,전농2동주민센터,129,127.06004589,37.57807446,서울특별시 동대문구 전농동 688-2,서울특별시 동대문구 사가정로 137(전농동),서울특별시 동대문구 주민복지국 복지정책과,손혜정,2171-6137,강당(5층),49
342,전일중학교,1191,127.05851924,37.5818369,서울특별시 동대문구 전농동 60-1,서울특별시 동대문구 사가정로13길 67(전농동),서울특별시 동대문구 주민복지국 복지정책과,이주희,02-2245-9361,헤오름관,458
339,배봉초등학교,1287,127.06678382,37.58012202,서울특별시 동대문구 전농동 3-111,서울특별시 동대문구 사가정로 193(전농동),서울특별시 동대문구 주민복지국 복지정책과,최이분,02-2245-8951,체육관,495
365,답십리1동 주민센터,323,127.05113622,37.57195877,서울특별시 동대문구 답십리동 477-9,서울특별시 동대문구 사가정로 30(답십리동),서울특별시 동대문구 주민복지국 복지정책과,임희선,02-2171-6227,강당(5층),124
366,답십리2동주민센터,239,127.0613233,37.56741603,서울특별시 동대문구 답십리동 10-2,서울특별시 동대문구 한천로11길 18(답십리동),서울특별시 동대문구 주민복지국 복지정책과,이정우,02-2171-6244,강당(4층),91
391,답십리초등학교,3500,127.06302702,37.5695955,서울특별시 동대문구 답십리동 2-74,서울특별시 동대문구 답십리로60길 84(답십리동),서울특별시 동대문구 주민복지국 복지정책과,허태규,02-2242-6173,교사동,1346
348,장평중학교,992,127.0707034,37.56663485,서울특별시 동대문구 장안동 352-0,서울특별시 동대문구 답십리로72길 158(장안동),서울특별시 동대문구 주민복지국 복지정책과,김영진,,정보화센터,381
75,하안노인종합복지관,213,126.87415475,37.46801997,경기도 광명시 하안동 683-0,경기도 광명시 철망산로 48(하안동),경기도 광명시 사회복지국 복지정책과,이동원,02-898-8830,강당,81
43,하안종합사회복지관 강당,250,126.8846603,37.45922735,경기도 광명시 하안동 200,"경기도 광명시 하안로 238(하안동, 하안13단지고층주공아파트)",경기도 광명시 사회복지국 복지정책과,김재란,02-894-0720,3층 강당,96
58,소하1동 행정복지센터,243,126.88167734,37.45873614,경기도 광명시 하안동 260-1,경기도 광명시 금당로 28(하안동),경기도 광명시 사회복지국 복지정책과,,,"2층 회의실, 프로그램실",93
57,하안3동 주민센터,264,126.88157539,37.45873054,경기도 광명시 하안동 260-1,경기도 광명시 금당로 28(하안동),경기도 광명시 사회복지국 복지정책과,,,"2층 회의실, 3층 다목적실",101
76,하안중학교,1902,126.88249056,37.46596215,경기도 광명시 하안동 25-1,경기도 광명시 안현로 80-2 (하안동),경기도 광명시 사회복지국 복지정책과,이윤지,02-895-8505,체육관,731
373,동대문중학교,3500,127.05225916,37.57464302,서울특별시 동대문구 전농동 322-5,서울특별시 동대문구 사가정로 59(전농동),서울특별시 동대문구 주민복지국 복지정책과,권덕근,02-3407-4103,본관동,1346
382,전농1동주민센터,221,127.04771692,37.57798316,서울특별시 동대문구 전농동 678-1,서울특별시 동대문구 서울시립대로9길 21(전농동),서울특별시 동대문구 주민복지국 복지정책과,김성숙,02-2171-6095,강당(3층),85
340,전곡초등학교,3500,127.05649354,37.5804594,서울특별시 동대문구 전농동 188-0,서울특별시 동대문구 전농로 172(전농동),서울특별시 동대문구 주민복지국 복지정책과,이찬희,02-2242-4300,교사동,1346
78,광명국민체육센터,341,126.86556277,37.48679267,경기도 광명시 철산동 63-0,경기도 광명시 사성로 74(철산동),경기도 광명시 사회복지국 복지정책과,방두호,02-2610-7361,4층,131
73,광명북중학교,396,126.86570997,37.48719335,경기도 광명시 철산동 59-0,경기도 광명시 시청로 121(철산동),경기도 광명시 사회복지국 복지정책과,신운순,02-2687-3802,체육관,152
41,철산종합사회복지관,99,126.86551822,37.48308268,경기도 광명시 철산동 158,경기도 광명시 연서일로 4-3 (철산동),경기도 광명시 사회복지국 복지정책과,강영규,,2층 강당,38
53,철산2동행정복지센터,135,126.86660298,37.48468492,경기도 광명시 철산동 154-0,경기도 광명시 시청로 94(철산동),경기도 광명시 사회복지국 복지정책과,,,3층 대회의실,51
54,철산3동 주민센터,150,126.87225571,37.47693531,경기도 광명시 철산동 449-1,경기도 광명시 철산로 56(철산동),경기도 광명시 사회복지국 복지정책과,,,2층 대회의실,57
9,하안북초등학교,345,126.86818027,37.46455368,경기도 광명시 하안동 684,경기도 광명시 가림로 22(하안동),경기도 광명시 사회복지국 복지정책과,신평우,,"1층 강당, 4층 다목적실",132
56,하안1동주민센터,239,126.86917057,37.46509617,경기도 광명시 하안동 684-2,경기도 광명시 오리로 747(하안동),경기도 광명시 사회복지국 복지정책과,,,"1층 강의실, 2층 회의실",91
61,시민체육관,1320,126.87037787,37.46357496,경기도 광명시 하안동 577-0,경기도 광명시 오리로 703(하안동),경기도 광명시 사회복지국 복지정책과,,,1층,507
70,안현초등학교,712,126.86752253,37.47061005,경기도 광명시 하안동 864-1,경기도 광명시 도덕공원로 5(하안동),경기도 광명시 사회복지국 복지정책과,,02-899-7671,체육관,273
49,광명5동행정복지센터,230,126.84759615,37.47876077,경기도 광명시 광명동 170-0,경기도 광명시 너부대로35번길 20(광명동),경기도 광명시 사회복지국 복지정책과,,,2층 회의실,88
74,광명장애인복지관,514,126.84652953,37.4792746,경기도 광명시 광명동 164-0,경기도 광명시 목감로 120(광명동),경기도 광명시 사회복지국 복지정책과,이재명,02-2616-3700,체육관,197
28,광남중학교,1023,126.84774288,37.47059919,경기도 광명시 광명동 384-6,경기도 광명시 광명로 785(광명동),경기도 광명시 사회복지국 복지정책과,김종태,,해솔관(체육관),393
50,광명6동주민센터,108,126.84868667,37.47112622,경기도 광명시 광명동 380-49,경기도 광명시 광명로791번길 6(광명동),경기도 광명시 사회복지국 복지정책과,,,3층 대회의실,41
69,광문중학교,330,126.85250873,37.46661061,경기도 광명시 광명동 735-1,경기도 광명시 덕단이로 43(광명동),경기도 광명시 사회복지국 복지정책과,,,다목적체육관,126
51,광명7동주민센터,90,126.85351087,37.46938164,경기도 광명시 광명동 720-0,경기도 광명시 도덕로 53(광명동),경기도 광명시 사회복지국 복지정책과,,,2층 대회의실,34
64,광명북고등학교,726,126.86733549,37.48792338,경기도 광명시 철산동 59-1,경기도 광명시 시청로 127(철산동),경기도 광명시 사회복지국 복지정책과,,,체육관,279
62,국민체육센터,849,126.86560728,37.48670736,경기도 광명시 철산동 63-0,경기도 광명시 사성로 74(철산동),경기도 광명시 사회복지국 복지정책과,,,5층 다목적체육관,326
52,철산1동주민센터,81,126.86786496,37.49080299,경기도 광명시 철산동 9-141,경기도 광명시 사성로 121(철산동),경기도 광명시 사회복지국 복지정책과,,,3층 강당,31
339,대덕문화체육관,1774,127.41536602,36.44551004,대전광역시 대덕구 목상동 산6-2,대전광역시 대덕구 대덕대로1486번길 85(목상동),대전광역시 대덕구 공동체복지국 복지정책과,이연옥,042-935-0082,대덕문화체육관,537
358,이문초등학교,887,127.06384431,37.60264335,서울특별시 동대문구 이문동 164-26,서울특별시 동대문구 신이문로 16(이문동),서울특별시 동대문구 주민복지국 복지정책과,김태훈,02-959-2025,강당,341
396,이문2동주민센터,203,127.06511647,37.60332888,서울특별시 동대문구 이문동 237-1,서울특별시 동대문구 신이문로 27-5 (이문동),서울특별시 동대문구 주민복지국 복지정책과,권미리,02-2171-6516,강당(3층),78
47,광명2동행정복지센터,99,126.85587981,37.48336376,경기도 광명시 광명동 93-3,경기도 광명시 광명로 947(광명동),경기도 광명시 사회복지국 복지정책과,,,2층 회의실,38
40,광명종합사회복지관,330,126.85044551,37.48090162,경기도 광명시 광명동 158-970,경기도 광명시 오리로 1018(광명동),경기도 광명시 사회복지국 복지정책과,신혜정,,5층 강당,126
48,광명3동주민센터,66,126.85694058,37.48028878,경기도 광명시 광명동 136-8,경기도 광명시 광명로928번길 18-20 (광명동),경기도 광명시 사회복지국 복지정책과,,,2층 회의실,25
3,광명서초등학교,132,126.8469883,37.47809339,경기도 광명시 광명동 219,경기도 광명시 너부대로 5(광명동),경기도 광명시 사회복지국 복지정책과,조병윤,,교사동 2층 강당,50
42,광명장애인종합복지관,165,126.84688114,37.47881593,경기도 광명시 광명동 164-2,경기도 광명시 목감로 120(광명동),경기도 광명시 사회복지국 복지정책과,조성갑,,3층 강당,63
336,송촌중학교,322,127.44327096,36.36400405,대전광역시 대덕구 송촌동 495-10,대전광역시 대덕구 계족산로 110(송촌동),대전광역시 대덕구 공동체복지국 복지정책과,류미희,042-627-4931,체육관,97
343,대전용전중학교,922,127.42528834,36.35637591,대전광역시 대덕구 중리동 234-7,대전광역시 대덕구 한밭대로1146번길 46(중리동),대전광역시 대덕구 공동체복지국 복지정책과,고경희,042-620-1900,교사동(A동) 1층,279
346,대덕구청소년수련관,1904,127.43407085,36.36441602,대전광역시 대덕구 중리동 101-1,대전광역시 대덕구 쌍청당로 25(중리동),대전광역시 대덕구 공동체복지국 복지정책과,우정현,042-626-7728,"강당, 특별활동실(2~3층)",576
345,신탄진도서관,3245,127.4376692,36.44653565,대전광역시 대덕구 신탄진동 150-9,대전광역시 대덕구 신탄진동로 64(신탄진동),대전광역시 대덕구 공동체복지국 복지정책과,강문숙,042-608-5521,1본관 1~3층,983
344,새일초등학교,2160,127.41953756,36.43195376,대전광역시 대덕구 덕암동 110-1,대전광역시 대덕구 덕암로125번길 15(덕암동),대전광역시 대덕구 공동체복지국 복지정책과,임권영,042-931-1411,교실 및 강당,654
338,대덕국민체육센터,519,127.41360094,36.4455177,대전광역시 대덕구 목상동 871-0,대전광역시 대덕구 대덕대로1486번길 101(목상동),대전광역시 대덕구 공동체복지국 복지정책과,정용석,042-608-5581,체육관,157
422,산엔청복지관 분관,679,127.95945927,35.29691473,경상남도 산청군 단성면 성내리 198-0,경상남도 산청군 단성면 사직단로440번길 7,경상남도 산청군 단성면,행복나눔과장,055-970-6853,산엔청복지관 분관 본관,261
1,황지중학교,966,128.98796984,37.16654983,강원특별자치도 태백시 황지동 59-163,강원특별자치도 태백시 문화로 16(황지동),강원도 태백시 경제복지국 주민생활지원과,권혁훈,033-550-5111,다목적실,371
4,황지초등학교,1330,128.99032791,37.16384898,강원특별자치도 태백시 황지동 85-1,강원특별자치도 태백시 황지로 63(황지동),강원도 태백시 경제복지국 주민생활지원과,행정실장,033-550-1595,"급식실,다목적실",511
45,삼성초등학교,458,129.02363679,37.09763707,강원특별자치도 태백시 장성동 30,강원특별자치도 태백시 평화길 44(장성동),강원도 태백시 경제복지국 주민생활지원과,행정실장,033-581-6856,체육관,176
311,화정초등학교,713,127.412543,36.356655,대전광역시 대덕구 오정동 93-1,대전광역시 대덕구 한밭대로1024번길 20(오정동),대전광역시 대덕구 공동체복지국 복지정책과,박종용,042627-6175,체육관,216
315,대전원명학교,623,127.41470726,36.36722773,대전광역시 대덕구 대화동 35-1120,대전광역시 대덕구 대화1길 2(대화동),대전광역시 대덕구 공동체복지국 복지정책과,노한호,042-349-7721,다목적강당,188
340,와동초등학교,2087,127.42214643,36.39720424,대전광역시 대덕구 신대동 372-1,대전광역시 대덕구 신탄진로 189(신대동),대전광역시 대덕구 공동체복지국 복지정책과,이현숙,042-627-6566,교사동(3동),600
334,장동주민문화센터,69,127.44098882,36.41286198,대전광역시 대덕구 장동 336,대전광역시 대덕구 산디로15번길 63(장동),대전광역시 대덕구 공동체복지국 복지정책과,황의철,042-625-2365,경로당,20
14,안서중학교,561,126.8821947,37.43811087,경기도 광명시 소하동 883-13,경기도 광명시 기아로13번안길 9-9 (소하동),경기도 광명시 사회복지국 복지정책과,이옥경,,체육관동 2층,215
67,충현초등학교,682,126.88624605,37.43306243,경기도 광명시 소하동 1375-0,경기도 광명시 성채안로 16(소하동),경기도 광명시 사회복지국 복지정책과,,,2층 체육관,262
59,소하2동 행정복지센터,442,126.88020635,37.43217391,경기도 광명시 소하동 1383-1,경기도 광명시 성채로 52(소하동),경기도 광명시 사회복지국 복지정책과,,,"2층 회의실, 프로그램실",170
60,학온동주민센터,330,126.85130052,37.41558897,경기도 광명시 가학동 545-3,경기도 광명시 서독로104번길 14(가학동),경기도 광명시 사회복지국 복지정책과,,,3층 강당,126
414,산청고등학교,5613,127.87000951,35.41034649,경상남도 산청군 산청읍 옥산리 815-0,경상남도 산청군 산청읍 웅석봉로86번길 9-12,경상남도 산청군 산청읍,교장,055-973-0782,산청고등학교 기숙사,196
410,산엔청복지관,288,127.88215593,35.41469947,경상남도 산청군 산청읍 지리 179-7,경상남도 산청군 산청읍 중앙로 67,경상남도 산청군 산청읍,행복나눔과장,055-970-6853,산엔청복지관 3층 다목적강당,110
421,산청군 농업기술센터 미래생명관,447,127.90022715,35.40480597,경상남도 산청군 산청읍 병정리 320-0,경상남도 산청군 산청읍 물안실로 8,경상남도 산청군 산청읍,농업진흥과장,055-970-7902,"농업기술센터 미래생명관 2, 3층",171
411,지리산권 사회복지관,653,127.831764,35.29788,경상남도 산청군 삼장면 대포리 84-1,경상남도 산청군 삼장면 덕산대포로245번길 2,경상남도 산청군 삼장면,삼장면장,055-970-8251,지리산권 사회복지관 1층 숙박시설 및 2층 다,251
439,가좌고등학교 다목적체육관,749,126.72004228,37.68771146,경기도 고양시 일산서구 가좌동 1097,경기도 고양시 일산서구 가좌1로 43(가좌동),경기도 고양시 사회복지국 복지정책과,이슬,031-910-1900,체육관,288
334,고양송산중학교 강당,461,126.72238336,37.68780099,경기도 고양시 일산서구 가좌동 1100,경기도 고양시 일산서구 가좌2로 15(가좌동),경기도 고양시 사회복지국 복지정책과,김희군,031-910-1305,강당(체육관),177
182,원당초등학교 체육관,132,126.83455434,37.66246222,경기도 고양시 덕양구 주교동 313-8,경기도 고양시 덕양구 마상로107번길 13(주교동),경기도 고양시 사회복지국 복지정책과,박혜숙,031-969-6665,체육관,50
470,고양시문예회관,758,126.83280176,37.65802997,경기도 고양시 덕양구 주교동 600-0,경기도 고양시 덕양구 고양시청로 10(주교동),경기도 고양시 사회복지국 복지정책과,권지영,031-965-2957,문예회관,291
12,소하고등학교,792,126.88752678,37.44745255,경기도 광명시 소하동 1330,경기도 광명시 소하일로 21(소하동),경기도 광명시 사회복지국 복지정책과,김승연,,3층 강당,304
65,구름산초등학교,499,126.88413272,37.45288797,경기도 광명시 소하동 1287-0,경기도 광명시 한내일로 5(소하동),경기도 광명시 사회복지국 복지정책과,,,2층 체육관,191
66,운산고등학교,555,126.88345948,37.45409475,경기도 광명시 소하동 1285-0,경기도 광명시 한내일로 17(소하동),경기도 광명시 사회복지국 복지정책과,,,2층 체육관,213
63,광명시노인종합복지관,186,126.88497603,37.4522765,경기도 광명시 소하동 1291-0,경기도 광명시 소하로 25(소하동),경기도 광명시 사회복지국 복지정책과,,,5층 강당,71
77,소하중학교,617,126.88757086,37.44829899,경기도 광명시 소하동 1329-0,경기도 광명시 소하일로 31(소하동),경기도 광명시 사회복지국 복지정책과,엄명헌,02-890-0184,체육관,237
438,호곡중학교 강당,388,126.76839208,37.70144417,경기도 고양시 일산서구 탄현동 117-69,경기도 고양시 일산서구 탄현로 110(탄현동),경기도 고양시 사회복지국 복지정책과,안영희,031-929-2504,강당,149
249,상탄초등학교 강당,132,126.76680086,37.69484199,경기도 고양시 일산서구 탄현동 1483,경기도 고양시 일산서구 현중로 47(탄현동),경기도 고양시 사회복지국 복지정책과,송지예,031-914-0301,강당,50
250,황룡초등학교 체육관,1364,126.7681516,37.69819369,경기도 고양시 일산서구 탄현동 1474,경기도 고양시 일산서구 탄현로 75(탄현동),경기도 고양시 사회복지국 복지정책과,추희웅,031-915-0291,체육관,524
459,호곡중학교 교실,132,126.76839208,37.70144417,경기도 고양시 일산서구 탄현동 117-69,경기도 고양시 일산서구 탄현로 110(탄현동),경기도 고양시 사회복지국 복지정책과,안영희,031-929-2504,본관 교실,50
440,일산동고등학교 체육관,936,126.76871122,37.70039251,경기도 고양시 일산서구 탄현동 1471,경기도 고양시 일산서구 탄현로 100(탄현동),경기도 고양시 사회복지국 복지정책과,구인서,031-915-0524,체육관,359
431,백송초등학교 다목적강당,762,126.7534225,37.7016654,경기도 고양시 일산서구 덕이동 1532-0,경기도 고양시 일산서구 하이파크3로 110(덕이동),경기도 고양시 사회복지국 복지정책과,나은희,031-919-1783,다목적강당,293
108,가좌초등학교 다목적실,476,126.72107496,37.68865417,경기도 고양시 일산서구 가좌동 1099,경기도 고양시 일산서구 가좌2로 31(가좌동),경기도 고양시 사회복지국 복지정책과,안열희,031-922-6044,다목적실,183
417,하늘초등학교,660,126.79007288,37.67721428,경기도 고양시 일산동구 중산동 1799,경기도 고양시 일산동구 하늘마을1로 46(중산동),경기도 고양시 사회복지국 복지정책과,안성모,031-975-8972,체육관,253
414,안곡초등학교 강당,414,126.78167299,37.68475362,경기도 고양시 일산동구 중산동 161-3,경기도 고양시 일산동구 중산로 142(중산동),경기도 고양시 사회복지국 복지정책과,지기연,031-976-1624,강당,159
242,안곡중학교 다목적강당,840,126.78667049,37.68088839,경기도 고양시 일산동구 중산동 1709,경기도 고양시 일산동구 하늘마을로 93(중산동),경기도 고양시 사회복지국 복지정책과,장연주,070-4070-1560,다목적강당,323
353,중산고등학교 체육관,940,126.78307855,37.697142,경기도 고양시 일산동구 중산동 1554,경기도 고양시 일산동구 중산로 290(중산동),경기도 고양시 사회복지국 복지정책과,윤승희,031-910-6600,체육관,361
454,하늘초등학교,131,126.79007288,37.67721428,경기도 고양시 일산동구 중산동 1799,경기도 고양시 일산동구 하늘마을1로 46(중산동),경기도 고양시 사회복지국 복지정책과,안성모,031-975-8972,시청각실,50
453,하늘초등학교,131,126.79007288,37.67721428,경기도 고양시 일산동구 중산동 1799,경기도 고양시 일산동구 하늘마을1로 46(중산동),경기도 고양시 사회복지국 복지정책과,안성모,031-975-8972,음악실,50
452,하늘초등학교,131,126.79007288,37.67721428,경기도 고양시 일산동구 중산동 1799,경기도 고양시 일산동구 하늘마을1로 46(중산동),경기도 고양시 사회복지국 복지정책과,안성모,031-975-8972,미술실,50
434,호곡초등학교 체육관,486,126.76702463,37.70084334,경기도 고양시 일산서구 탄현동 117-1,경기도 고양시 일산서구 탄현로 109(탄현동),경기도 고양시 사회복지국 복지정책과,윤숙정,031-918-7083,체육관,200
321,법동종합사회복지관,330,127.43170717,36.37125251,대전광역시 대덕구 법동 188,"대전광역시 대덕구 계족로664번길 27(법동, 한마음아파트)",대전광역시 대덕구 공동체복지국 복지정책과,박명순,042-633-1141,강당,100
342,대전법동초등학교,2509,127.43252448,36.36948137,대전광역시 대덕구 법동 191-3,대전광역시 대덕구 계족로664번길 74(법동),대전광역시 대덕구 공동체복지국 복지정책과,류근양,042-626-7569,교사동(B동)1~3층,760
445,고양오금초등학교 체육관,618,126.89544613,37.66171932,경기도 고양시 덕양구 오금동 581-0,경기도 고양시 덕양구 오금1로 10(오금동),경기도 고양시 사회복지국 복지정책과,홍은주,02-381-8515,체육관,237
396,고양중학교 체육관,722,126.88453692,37.6495258,경기도 고양시 덕양구 삼송동 322-0,경기도 고양시 덕양구 동세로 82(삼송동),경기도 고양시 사회복지국 복지정책과,황미라,02-350-1115,체육관,277
447,고양동산초등학교,788,126.88659651,37.64634856,경기도 고양시 덕양구 동산동 359,경기도 고양시 덕양구 동세로 32(동산동),경기도 고양시 사회복지국 복지정책과,조은정,02-381-1980,체육관,303
206,중산초등학교 체육관,1090,126.78365838,37.69011925,경기도 고양시 일산동구 중산동 1575-3,경기도 고양시 일산동구 탄중로 373(중산동),경기도 고양시 사회복지국 복지정책과,노기순,031-977-4193,체육관,419
411,모당초등학교,704,126.78094275,37.67935834,경기도 고양시 일산동구 중산동 1684,경기도 고양시 일산동구 하늘마을로 144(중산동),경기도 고양시 사회복지국 복지정책과,고유미,031-975-9238,강당,270
391,지도초등학교 너른교실,132,126.83381647,37.62830379,경기도 고양시 덕양구 화정동 1132,경기도 고양시 덕양구 성신로 49(화정동),경기도 고양시 사회복지국 복지정책과,조근미,031-973-2168,너른교실,50
220,화정중학교 강당,272,126.82661101,37.63448353,경기도 고양시 덕양구 화정동 941,경기도 고양시 덕양구 화신로 343(화정동),경기도 고양시 사회복지국 복지정책과,노희숙,031-930-1906,강당,104
388,고양화정초등학교 실내체육관,950,126.82606398,37.63402953,경기도 고양시 덕양구 화정동 942,경기도 고양시 덕양구 화신로 333(화정동),경기도 고양시 사회복지국 복지정책과,최정인,031-970-1963,실내체육관,365
397,능곡중학교 체육관,584,126.82638236,37.62259968,경기도 고양시 덕양구 토당동 394,경기도 고양시 덕양구 행당로11번길 48(토당동),경기도 고양시 사회복지국 복지정책과,양성흠,031-974-7006,체육관,224
392,토당초등학교 체육관,686,126.82606821,37.61706345,경기도 고양시 덕양구 토당동 409-12,경기도 고양시 덕양구 행신로 90(토당동),경기도 고양시 사회복지국 복지정책과,강성실,031-972-9677,체육관,263
